thickness,radius,length,exp_index,pressure,mesh_length,youngs_modulus,poisson_ratio,tensile_strength,density,body_area,body_volume,body_mass,outer_area,outer_volume,inner_area,inner_volume,node_count,edge_count,face_count,volume_count,vonmises_stress,tresca_stress,max_displacement,has_failed
0.11,0.4585677038408225,1.2,11.0,3.01938,0.3,68900.0,0.33,276.0,2700.0,10.254975584446692,0.5612360172632832,1515.337246610865,6.100029969286668,1.1966766726262956,4.154945615160024,0.6354406553630124,1596,64,520,810,13.320478889889277,7.681988671709092,7.956283299034755e-05,False
0.12,0.5716993996350368,1.2,12.0,3.01938,0.2,68900.0,0.33,276.0,2700.0,14.387386385789991,0.8596240684104643,2320.9849847082537,8.417707050887001,2.0148522020380417,5.969679334902992,1.1552281336275774,3133,96,1032,1579,14.671809518048628,8.458680097970035,0.0001035765382829,False
0.13,0.6902904856991885,1.2,13.0,3.01938,0.3,68900.0,0.33,276.0,2700.0,19.36194925420876,1.2539253154836103,3385.5983518057483,11.192555239105111,3.1741602234910795,8.169394015103649,1.920234908007469,1857,76,606,942,16.45503753145019,9.442628294230856,0.0001389070677359,False
0.14,0.4731543638165693,1.2,14.0,3.01938,0.1,68900.0,0.33,276.0,2700.0,10.287485927922232,0.7143769947935891,1928.8178859426905,6.380796730836329,1.2876969600796488,3.906689197085904,0.5733199652860598,8347,154,2768,4189,10.580543804225703,6.096542909278597,6.620393552375115e-05,False
0.15,0.6956645802249708,1.2,15.0,3.01938,0.3,68900.0,0.33,276.0,2700.0,19.18252124510203,1.4316205099120742,3865.3753767626,11.326672471544072,3.23467012760518,7.855848773557957,1.8030496176931052,1845,76,602,936,14.30453502469702,8.169828109743603,0.0001208588817526,False
0.16,0.5337391234333628,1.2,16.0,3.01938,0.3,68900.0,0.33,276.0,2700.0,12.177382788904843,0.9656119807729864,2607.152348087063,7.60417382190936,1.7108692540510682,4.573208966995483,0.7452572732780819,1727,68,566,872,10.675510058808989,6.142131574699963,6.927100960015961e-05,False
0.17,0.5224858118513326,1.2,17.0,3.01938,0.3,68900.0,0.33,276.0,2700.0,11.588966417859291,0.9747723823797332,2631.88543242528,7.369961614803726,1.626617932873601,4.219004803055567,0.6518455504938678,1742,68,572,878,9.775501695991176,5.630132229886282,6.352066500700843e-05,False
0.18,0.7167573229205452,1.2,18.0,3.01938,0.3,68900.0,0.33,276.0,2700.0,19.527615554817704,1.7452708876964378,4712.231396780382,11.860083455499216,3.4791866116533483,7.667532099318487,1.7339157239569103,2050,78,670,1039,12.30652608971129,7.001031849639153,0.0001047618693336,False
0.19,0.7804832238679585,1.2,19.0,3.01938,0.3,68900.0,0.33,276.0,2700.0,22.37322114491125,2.1110905527592547,5699.944492449988,13.539560583273692,4.287952202625488,8.833660561637556,2.176861649866233,2284,86,748,1156,12.392535088635237,7.012141199021476,0.000116687522133,False
0.2,0.553922150575211,1.2,20.0,3.01938,0.3,68900.0,0.33,276.0,2700.0,12.274795859678752,1.2107244251487297,3268.95594790157,8.032210961539937,1.868646823912797,4.242584898138816,0.6579223987640674,1510,64,500,754,8.927367421357484,5.123656379880969,5.9587749378847615e-05,False
0.21,0.6079748998148944,1.2,21.0,3.01938,0.3,68900.0,0.33,276.0,2700.0,14.219946392894702,1.4736981782106804,3978.985081168837,9.228974035318746,2.334823316786156,4.990972357575956,0.8611251385754757,1565,68,516,785,9.27031539793943,5.302328437143186,6.481551744946344e-05,False
0.22,0.6903747457552853,1.2,22.0,3.01938,0.3,68900.0,0.33,276.0,2700.0,17.521534158348985,1.9050676383681049,5143.682623593882,11.194652452804783,3.1751033971778124,6.326881705544199,1.2700357588097078,1654,72,542,835,9.895024813913402,5.644400315777044,7.762424679660345e-05,False
0.23,0.6202000631910163,1.2,23.0,3.01938,0.3,68900.0,0.33,276.0,2700.0,14.365174732469184,1.6265125890231398,4391.583990362477,9.509829121170252,2.449361955132441,4.855345611298931,0.822849366109301,1471,66,482,742,8.853145341156933,5.052216075458025,6.147025669674807e-05,False
0.24,0.5407191833007187,1.2,24.0,3.01938,0.3,68900.0,0.33,276.0,2700.0,11.154818884170902,1.309625348205025,3535.988440153568,7.751047289981872,1.7644587231139106,3.4037715941890303,0.4548333749088855,1485,62,492,741,7.407556077945417,4.258817521793207,4.895947285849993e-05,False
0.25,0.8537510553422938,1.2,25.0,3.01938,0.3,68900.0,0.33,276.0,2700.0,24.729454574332703,3.0584568983166944,8257.833625455074,15.59664404500245,5.354501711810001,9.132810529330255,2.2960448134933067,2432,88,798,1229,10.035107681107672,5.642957392813899,0.0001012535682307,False
0.26,0.8774465124273607,1.2,26.0,3.01938,0.3,68900.0,0.33,276.0,2700.0,25.73703779479797,3.309003825004005,8934.310327510813,16.29079517660779,5.7322675709554485,9.44624261819018,2.423263745951444,2384,90,788,1196,9.827495127566134,5.524113989023437,0.00010212193323,False
0.27,0.6244951156043207,1.2,27.0,3.01938,0.3,68900.0,0.33,276.0,2700.0,13.86139888208512,1.830064870281085,4941.17514975893,9.60939326068832,2.490420820303352,4.252005621396798,0.6603559500222669,1449,64,480,723,7.267898041280763,4.157260713033488,5.375268288283758e-05,False
0.28,0.6398450625102562,1.2,28.0,3.01938,0.3,68900.0,0.33,276.0,2700.0,14.309379601067,1.9573369828616385,5284.809853726424,9.969011657612858,2.6406769833619093,4.34036794345414,0.6833400005002708,1367,64,450,686,7.420436499322416,4.2374816370332455,5.366641295490451e-05,False
0.29,0.6719111930496756,1.2,29.0,3.01938,0.3,68900.0,0.33,276.0,2700.0,15.451788282462603,2.189429098804811,5911.45856677299,10.7393631711683,2.9726266531200696,4.712425111294303,0.7831975543152585,1536,66,510,765,7.348506045269362,4.189922611896583,5.563280706093455e-05,False
0.3,0.9763810953365766,1.2,30.0,3.01938,0.3,68900.0,0.33,276.0,2700.0,30.190312624799567,4.471998225955317,12074.395210079356,19.34151300150196,7.492873181150033,10.848799623297609,3.0208749551947163,2851,100,944,1429,9.16742391715553,5.148579906206151,0.0001058784436893,False
0.31,0.7765496739655273,1.2,31.0,3.01938,0.3,68900.0,0.33,276.0,2700.0,19.6859434302008,2.988927107185727,8070.103189401462,13.432937485304128,4.234903496523854,6.253005944896673,1.2459763893381273,1874,78,618,941,7.649850852200433,4.333763766130098,6.486193404678896e-05,False
0.32,0.6407615647574605,1.2,32.0,3.01938,0.3,68900.0,0.33,276.0,2700.0,13.702084532498093,2.1237043864844747,5734.001843508082,9.990670805189602,2.649823528664879,3.711413727308491,0.5261191421804043,1297,62,430,646,6.280934328236482,3.594193165832535,4.813447821612212e-05,False
0.33,0.8886944674933631,1.2,33.0,3.01938,0.3,68900.0,0.33,276.0,2700.0,24.760157457571,4.010159703704511,10827.431200002178,16.625239673334416,5.917383630994133,8.134917784236581,1.907223927289623,2288,86,756,1148,7.897717800584269,4.443578828305097,7.848539300009908e-05,False
0.34,0.8334014788927464,1.2,34.0,3.01938,0.3,68900.0,0.33,276.0,2700.0,21.79115251311056,3.622177822124333,9779.8801197357,15.01177266817919,5.043085203046058,6.779379844931366,1.4209073809217243,2111,82,704,1049,7.50934190861667,4.259163061491083,6.65777160672398e-05,False
0.3500000000000001,0.9870579980021724,1.2,35.0,3.01938,0.3,68900.0,0.33,276.0,2700.0,29.588725754897435,5.088229817091946,13738.220506148256,19.68544940909388,7.701214171501379,9.903276345803558,2.6129843544094324,2790,98,926,1395,8.024988755376267,4.518552245944902,8.977244507497832e-05,False
